Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),Chip Globals,PLL
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,39,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_rdFIFORAM/Primitives,0,69,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_rdFIFORAM/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_rdFIFORAM/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_rdFIFORAM/mem_mem_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_rdFIFORAM/mem_mem_0_3/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_rdFIFORAM/mem_mem_0_4/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_rdFIFORAM/mem_mem_0_5/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_wrFIFORAM/Primitives,0,69,0,0,0,0,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_wrFIFORAM/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_wrFIFORAM/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_wrFIFORAM/mem_mem_0_2/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_wrFIFORAM/mem_mem_0_3/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_wrFIFORAM/mem_mem_0_4/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_0_inst_0/CoreAXITOAHBL_0_0/U_wrFIFORAM/mem_mem_0_5/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AHBMasterCtrl/Primitives,1027,200,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AXIOutReg/Primitives,0,13,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AXISlaveCtrl/Primitives,339,80,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,5,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,38,0,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_rdFIFORAM/Primitives,0,69,0,0,0,0,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_rdFIFORAM/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0,0,0
CoreAXITOAHBL_1_inst_0/CoreAXITOAHBL_1_0/U_rdFIFORAM/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0,0,0
